Monthly Income,Rent/Housing,Food & Groceries,Entertainment & Shopping,Travel & Transport,Savings/Investments,Financial Wellness Category,Personalized Recommendation
84754.0,20604.0,15767.0,4818.0,7471.0,242.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
185243.0,45033.0,34462.0,10531.0,16330.0,3206.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
20281.0,4930.0,3773.0,1152.0,1787.0,,,Excellent! Consider investments for growth.
144019.0,35011.0,26792.0,8187.0,12696.0,32998.0,Thriving,Excellent! Consider investments for growth.
62092.0,15094.0,11551.0,3529.0,5473.0,21961.0,Thriving,Excellent! Consider investments for growth.
39097.0,9504.0,7273.0,,3446.0,8183.0,Thriving,Excellent! Consider investments for growth.
119134.0,28962.0,22163.0,6772.0,10502.0,16999.0,Stable,You're on track! Try to boost savings gradually.
,40855.0,31264.0,9554.0,14815.0,13873.0,Stable,You're on track! Try to boost savings gradually.
162628.0,39535.0,30254.0,9245.0,14336.0,20174.0,Stable,You're on track! Try to boost savings gradually.
171734.0,41749.0,31949.0,9763.0,15139.0,16709.0,Stable,You're on track! Try to boost savings gradually.
96125.0,23368.0,17882.0,5464.0,,7522.0,Stable,You're on track! Try to boost savings gradually.
113557.0,27606.0,21125.0,6455.0,10010.0,44767.0,Thriving,Excellent! Consider investments for growth.
91719.0,22297.0,17063.0,5214.0,8085.0,36295.0,Thriving,Excellent! Consider investments for growth.
35563.0,8645.0,6616.0,2021.0,,433.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
135374.0,32910.0,25184.0,7696.0,11934.0,35242.0,Thriving,Excellent! Consider investments for growth.
184232.0,44787.0,34274.0,10473.0,16241.0,,,Critical: Immediate spending review needed. Focus on necessities.
173335.0,42138.0,32246.0,9854.0,15280.0,42286.0,Thriving,Excellent! Consider investments for growth.
98213.0,23876.0,18271.0,5583.0,8658.0,36097.0,Thriving,Excellent! Consider investments for growth.
155566.0,37819.0,28941.0,8844.0,,57836.0,,Excellent! Consider investments for growth.
79042.0,19215.0,14704.0,4493.0,6968.0,18481.0,Thriving,Excellent! Consider investments for growth.
30749.0,7475.0,5720.0,1748.0,2710.0,7807.0,Thriving,Excellent! Consider investments for growth.
174553.0,42434.0,32473.0,9923.0,15388.0,60595.0,Thriving,Excellent! Consider investments for growth.
158155.0,38448.0,29422.0,8991.0,13942.0,42863.0,Thriving,Excellent! Consider investments for growth.
61971.0,15065.0,11528.0,3523.0,5463.0,15057.0,Thriving,Excellent! Consider investments for growth.
93688.0,22776.0,17429.0,5326.0,8259.0,36992.0,Thriving,Excellent! Consider investments for growth.
143618.0,34914.0,26718.0,8164.0,12661.0,14207.0,Stable,You're on track! Try to boost savings gradually.
37640.0,9150.0,7002.0,2139.0,3318.0,,Thriving,Excellent! Consider investments for growth.
107312.0,26088.0,19964.0,6100.0,9460.0,24533.0,Thriving,Excellent! Consider investments for growth.
99459.0,24179.0,18503.0,5654.0,8768.0,8530.0,Stable,You're on track! Try to boost savings gradually.
111878.0,27198.0,20813.0,6360.0,9862.0,26637.0,Thriving,Excellent! Consider investments for growth.
133429.0,32437.0,,7585.0,11762.0,3575.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
23754.0,5774.0,,1350.0,2094.0,6596.0,Thriving,Excellent! Consider investments for growth.
196630.0,47801.0,36580.0,11178.0,17334.0,14199.0,,You're on track! Try to boost savings gradually.
140993.0,34276.0,26230.0,8015.0,12429.0,53932.0,Thriving,Excellent! Consider investments for growth.
87172.0,21192.0,,4955.0,7684.0,25981.0,Thriving,Excellent! Consider investments for growth.
55488.0,13489.0,10322.0,,4891.0,19098.0,Thriving,Excellent! Consider investments for growth.
117532.0,28572.0,21865.0,6681.0,10361.0,,Thriving,Excellent! Consider investments for growth.
174458.0,,32455.0,9918.0,15379.0,66912.0,Thriving,Excellent! Consider investments for growth.
,11472.0,8779.0,2682.0,4160.0,10942.0,Thriving,Excellent! Consider investments for growth.
